entropy,polynuc,predict_telom
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6108643020548935,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6108643020548935,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6108643020548935,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6474466390346325,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6730116670092565,1.0,1.0
0.6881388137135884,1.0,1.0
